name,status,symbol,price,available_suppy
365Coin,Minable,365,19.42,140
66 Coin,Minable,66,30.59,Unknown
Acoin,Minable,ACOIN,0.02,150530
Applecoin,Minable,APC,0.01,21149605
Argentum,Minable,ARG,0.01,1471853
BigBullion,Minable,BIG,0.07,269280
BitShares PTS,Minable,PTS,2.88,1760762
X-Children,Minable,CHILD,0.02,1272422
Lightspeed,Minable,LSD,0.01,767911
MozzShare,Minable,MLS,0.01,56072160
Viking Coin,Minable,VIK,1.29,2312
Boolberry,Minable,BBR,0.12,25967
Bytecoin (BTE),Minable,BTE,0.01,Unknown
CryptoBuk,Minable,BUK,0.01,896905
CannabisCoin,Minable,CANN,0.04,91863135
Cannacoin,Minable,CCN,0.04,3667464
Cryptographic Anomaly,Minable,CGA,0.03,40931
Cryptogenic Bullion,Minable,CGB,0.13,955276
QuazarCoin,Minable,QCN,0.01,942032
CoinmarketsCoin,Minable,JBS,0.01,3299469
CraftCoin,Minable,CRC,0.01,Unknown
CryptCoin,Minable,CRYPT,0.01,5045661
AurumCoin,Minable,AU,0.04,35733
Checkcoin,Minable,CKC,0.01,14327330
LemurCoin,Minable,LMR,0.08,100000
Datacoin,Minable,DTC,0.02,1713492
Digitalcoin,Minable,DGC,0.01,17508028
DNotes,Minable,NOTE,0.01,92181351
Elacoin,Minable,ELC,0.02,392877
EmerCoin,Minable,EMC,0.01,33400428
Extremecoin,Minable,EXC,0.01,Unknown
Feathercoin,Minable,FTC,0.04,58175330
Franko,Minable,FRK,0.04,290140
HoboNickels,Minable,HBN,0.03,6744325
HunterCoin,Minable,HUC,0.01,4104510
LiteBar,Minable,LTB,0.03,176737
Megacoin,Minable,MEC,0.03,25697150
Maieuticoin,Minable,M,26.76,2130
MonaCoin,Minable,MONA,0.05,13071900
Namecoin,Minable,NMC,1.02,10065900
Novacoin,Minable,NVC,0.9,846792
Orbitcoin,Minable,ORB,0.04,1697226
Philosopher Stones,Minable,PHS,0.04,2237262
Primecoin,Minable,XPM,0.2,7495849
Quark,Minable,QRK,0.01,248304414
Quatloo,Minable,QTL,0.02,2000086
Razor,Minable,RZR,0.06,1999758
Riecoin,Minable,RIC,0.01,7121275
SecureCoin,Minable,SRC,0.02,2268625
TagCoin,Minable,TAG,0.05,2071116
TEKcoin,Minable,TEK,0.04,2875924
Terracoin,Minable,TRC,0.03,6614136
TraderCoin,Minable,TRDR,0.01,98628
Sterlingcoin,Minable,SLG,0.01,1433583
UltraCoin,Minable,UTC,0.02,21212867
UnionCoin,Minable,UNC,0.01,8388608
Uro,Minable,URO,0.89,873436
Vertcoin,Minable,VTC,0.07,8774850
Viacoin,Minable,VIA,0.07,11595270
Waccoin Gold,Minable,WACG,0.38,Unknown
42 Coin,Minable,42,2326,0.9178677
BitBar,Minable,BTB,2.12,14147
BitcoinDark,Minable,BTCD,2.52,1188058
Bitgem,Minable,BTG,0.23,30083
Blakecoin,Minable,BLC,0.01,4233193
Darkcoin,Minable,DRK,2.19,4756282
Functioncoin,Minable,FCC,0.01,1177680
GoldCoin,Minable,GLD,0.01,32782322
Gridcoin,Minable,GRC,0.01,32529168
Ixcoin,Minable,IXC,0.04,20999906
KashmirCoin,Minable,KSC,13.38,72.18311
Latium,Minable,LAT,0.02,Unknown
Librexcoin,Minable,LXC,0.04,9748354
LitecoinDark,Minable,LTCD,0.01,78476812
MaxCoin,Minable,MAX,0.02,36679163
Monero,Minable,XMR,0.97,4076538
NautilusCoin,Minable,NAUT,0.05,5289253
NeosCoin,Minable,NEOS,0.03,2158950
NoirShares,Minable,NRS,0.01,2477481
Peercoin,Minable,PPC,1.03,21814435
RonPaulCoin,Minable,RPC,0.04,138263
RotoCoin,Minable,RT2,0.01,65194
Triangles,Minable,TRI,0.19,49493
Unattainium,Minable,UNAT,0.03,25929
UnbreakableCoin,Minable,UNB,0.01,1632650
eUtopium,Minable,UPM,0.01,420570
VeriCoin,Minable,VRC,0.03,26883278
WankCoin,Minable,WKC,0.03,2957600
WorldCoin,Minable,WDC,0.01,66038879
YbCoin,Minable,YBC,0.45,2155218
ZcCoin,Minable,ZCC,0.01,17352849
Zetacoin,Minable,ZET,0.01,161028775
Anoncoin,Minable,ANC,1.07,1320079
Bitcoin,Minable,BTC,382.31,13392450
Bottlecaps,Minable,CAP,0.01,6838448
Unobtanium,Minable,UNO,2.64,191858
Bitstar,Minable,BITS,0.01,16274142
Diamond,Minable,DMD,0.19,631181
BoostCoin,Minable,BOST,0.01,11719011
Dirac,Minable,XDQ,0.13,375894
Shinycoin,Minable,SHC,0.01,9953651
Bitmark,Minable,BTM,0.42,901300
Techcoin,Minable,TECH,0.04,187456
Instant,Minable,BTI,0.01,101298
RootCoin,Minable,ROOT,0.02,1905156
ARCHcoin,Minable,ARCH,0.03,16188521
DigitalPrice,Minable,DP,0.04,155062
Magi,Minable,XMG,0.02,1867960
Litecoin,Minable,LTC,3.99,32976101
Mincoin,Minable,MNC,0.01,1721350
Stealthcoin,Minable,XST,0.01,21144496
GamerholicCoin,Minable,GHC,0.03,Unknown
SeedCoin,Minable,SEED,0.06,Unknown
