id,name,symbol,volume_17_oct_14
2,CRTCoin,CRT,$247
3,Copperlark,CLR,"$2,752"
4,Auroracoin,AUR,"$1,530"
5,SolarCoin,SLR,"$3,116"
6,CureCoin,CURE,$37
7,Startcoin,START,"$7,175"
8,X-Children,CHILD,$91
9,Lightspeed,LSD,$113
10,MozzShare,MLS,"$1,735"
12,Boolberry,BBR,"$7,346"
15,CannabisCoin,CANN,"$108,370"
16,Cannacoin,CCN,"$14,859"
18,Cryptogenic Bullion,CGB,$40
19,QuazarCoin,QCN,$56
20,CoinmarketsCoin,JBS,$503
22,CryptCoin,CRYPT,$941
23,AurumCoin,AU,$287
24,Checkcoin,CKC,"$1,485"
25,LemurCoin,LMR,$213
28,Acoin,ACOIN,$71
29,Applecoin,APC,"$2,906"
30,Argentum,ARG,$29
31,BigBullion,BIG,$62
32,BitShares PTS,PTS,"$28,754"
33,Primecoin,XPM,"$23,524"
34,Quark,QRK,"$3,287"
35,Quatloo,QTL,"$2,916"
36,Razor,RZR,"$1,640"
37,Riecoin,RIC,$561
38,SecureCoin,SRC,$928
39,TagCoin,TAG,$230
40,TEKcoin,TEK,$372
41,Terracoin,TRC,$922
43,Sterlingcoin,SLG,$377
44,UltraCoin,UTC,"$1,769"
45,UnionCoin,UNC,$45
46,Uro,URO,"$32,074"
47,Vertcoin,VTC,"$9,445"
48,Viacoin,VIA,"$5,413"
51,BitBar,BTB,$68
52,BitcoinDark,BTCD,"$14,052"
54,Blakecoin,BLC,$40
55,Darkcoin,DRK,"$55,595"
56,Functioncoin,FCC,$762
57,GoldCoin,GLD,$240
58,Gridcoin,GRC,$946
59,Ixcoin,IXC,"$24,414"
61,Latium,LAT,$313
62,Librexcoin,LXC,$616
63,LitecoinDark,LTCD,"$14,609"
64,MaxCoin,MAX,"$12,981"
65,Monero,XMR,"$73,097"
66,NautilusCoin,NAUT,"$1,938"
67,NeosCoin,NEOS,"$1,658"
68,NoirShares,NRS,$46
69,Peercoin,PPC,"$123,915"
70,RonPaulCoin,RPC,$30
72,Triangles,TRI,$40
74,UnbreakableCoin,UNB,$13
76,VeriCoin,VRC,"$8,573"
77,WankCoin,WKC,$687
78,WorldCoin,WDC,"$5,495"
79,YbCoin,YBC,"$12,777"
80,ZcCoin,ZCC,"$3,095"
81,Zetacoin,ZET,"$1,602"
82,Anoncoin,ANC,"$24,835"
83,Bitcoin,BTC,"$27,154,900"
84,Bottlecaps,CAP,$229
85,Unobtanium,UNO,$939
86,Bitstar,BITS,$94
87,Diamond,DMD,"$1,800"
88,BoostCoin,BOST,"$1,825"
89,Dirac,XDQ,$270
91,Bitmark,BTM,"$1,679"
92,Techcoin,TECH,$28
93,Instant,BTI,$559
94,RootCoin,ROOT,$600
95,ARCHcoin,ARCH,"$21,467"
96,DigitalPrice,DP,$331
97,Magi,XMG,$75
98,Litecoin,LTC,"$4,409,110"
99,Mincoin,MNC,$130
100,Stealthcoin,XST,"$11,014"
103,Datacoin,DTC,$15
104,Digitalcoin,DGC,$186
105,DNotes,NOTE,"$2,783"
106,Elacoin,ELC,$205
107,EmerCoin,EMC,$833
109,Feathercoin,FTC,"$12,020"
110,Franko,FRK,$30
111,HoboNickels,HBN,"$1,641"
112,HunterCoin,HUC,$20
113,LiteBar,LTB,$113
114,Megacoin,MEC,"$1,325"
116,MonaCoin,MONA,"$3,144"
117,Namecoin,NMC,"$93,788"
118,Novacoin,NVC,"$5,542"
119,Orbitcoin,ORB,$485
120,Philosopher Stones,PHS,$143
121,UtilityCoin,UTIL,"$12,049"
124,BlackCoin,BC,"$18,127"
125,Firecoin,FIRE,$202
126,Boomcoin,BOOM,"$16,808"
127,Ethercoin,ETC,"$4,177"
128,Abundance2,ABC2,$36
129,ShadowCash,SDC,"$1,055"
130,SocialxBot,XBOT,$181
131,CloakCoin,CLOAK,"$10,966"
135,Dogeparty,XDP,$213
136,Fibre,FIBRE,"$3,993"
137,HyperStake,HYP,"$7,072"
139,KoreCoin,KORE,"$5,143"
140,Counterparty,XCP,"$4,072"
141,InkWayCoin,LKNX,$246
142,XCurrency,XC,"$19,917"
143,Bitcoin Plus,XBC,$643
144,Hyper,HYPER,$643
146,KeyCoin,KEY,$258
161,XCash,XCASH,"$1,630"
162,PlutoniumCoin,RODS,$13
164,Qibuck,QBK,"$1,082"
165,SonicScrewdriver,SSD,"$3,791"
166,BitSharesX,BTSX,"$286,116"
167,Mastercoin,MSC,"$1,679"
169,Halcyon,HAL,$790
173,NuBits,NBT,"$693,341"
175,Nxt,NXT,"$30,981"
177,Aerocoin,AERO,$30
178,MaryJane,MARYJ,"$155,968"
179,BitSwift,SWIFT,"$24,056"
180,VaultCoin,VAULT,$17
182,Sync,SYNC,"$1,105"
184,Umbrella-LTC,ULTC,"$1,998"
186,BanxShares,BANX,"$1,174"
189,ApexCoin,APEX,"$4,045"
